owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,has_readme,has_docker,has_cicd,has_tests,repo_age_days,days_since_last_update,quality_label,quality_score,improvement_suggestions
ProxyScrape,free-proxy-list,ProxyScrape/free-proxy-list,https://github.com/ProxyScrape/free-proxy-list,Python,66,6,0,9742165,1,0,1,0,1,0,56,0,Beginner,43,"Add unit/integration tests, Add Docker support"
packit,packit-service,packit/packit-service,https://github.com/packit/packit-service,Python,42,59,261,12832,1,0,1,1,1,1,2626,0,Intermediate,74,Great job! Keep it up.
sktelecom,onot,sktelecom/onot,https://github.com/sktelecom/onot,Python,15,7,1,2822,1,0,1,0,1,1,1381,0,Intermediate,54,Add Docker support
TomoeMami,S1PlainTextBackup,TomoeMami/S1PlainTextBackup,https://github.com/TomoeMami/S1PlainTextBackup,Python,533,63,0,658423,0,0,1,0,1,0,2363,0,Beginner,56,"Add unit/integration tests, Add Docker support"
robballou,sublimetext-sshconfig,robballou/sublimetext-sshconfig,https://github.com/robballou/sublimetext-sshconfig,Python,24,5,1,658,1,0,1,0,1,1,4830,0,Intermediate,55,Add Docker support
fideus-labs,ngff-zarr,fideus-labs/ngff-zarr,https://github.com/fideus-labs/ngff-zarr,Python,72,23,20,10967,0,0,1,0,1,0,1395,0,Beginner,48,"Add unit/integration tests, Add Docker support"
canonical,checkbox,canonical/checkbox,https://github.com/canonical/checkbox,Python,49,79,179,34417,1,0,1,0,1,0,1391,0,Beginner,51,"Add unit/integration tests, Add Docker support"
aeon-toolkit,aeon,aeon-toolkit/aeon,https://github.com/aeon-toolkit/aeon,Python,1418,305,243,123963,0,1,1,0,1,0,1311,0,Production Ready,65,"Add unit/integration tests, Add Docker support"
NousResearch,hermes-agent,NousResearch/hermes-agent,https://github.com/NousResearch/hermes-agent,Python,219344,41592,24821,532699,1,1,1,1,1,1,365,0,Production Ready,100,Great job! Keep it up.
SnailDev,v2ex-hot-hub,SnailDev/v2ex-hot-hub,https://github.com/SnailDev/v2ex-hot-hub,Python,37,2,2,81198,1,0,1,0,1,0,1982,0,Beginner,38,"Add unit/integration tests, Add Docker support"
Xpra-org,xpra,Xpra-org/xpra,https://github.com/Xpra-org/xpra,Python,2900,233,216,78308,1,0,1,0,1,1,2008,0,Production Ready,81,Add Docker support
sonichi,sutando,sonichi/sutando,https://github.com/sonichi/sutando,Python,356,76,136,10475,1,0,1,0,1,1,117,0,Intermediate,71,Add Docker support
stamparm,maltrail,stamparm/maltrail,https://github.com/stamparm/maltrail,Python,8558,1257,101,44275,1,0,1,0,1,1,4248,0,Production Ready,90,Add Docker support
wliqi495-create,jaychouqq,wliqi495-create/jaychouqq,https://github.com/wliqi495-create/jaychouqq,Python,11,8,2,260395,1,0,1,0,0,0,181,0,Beginner,24,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
daiki-beppu,youtube-automation,daiki-beppu/youtube-automation,https://github.com/daiki-beppu/youtube-automation,Python,161,6,29,16180,0,0,1,0,1,1,123,0,Intermediate,60,Add Docker support
AndyShiue,learning-rust-from-zero,AndyShiue/learning-rust-from-zero,https://github.com/AndyShiue/learning-rust-from-zero,Python,59,2,0,5433,1,1,1,0,1,0,127,0,Beginner,40,"Add unit/integration tests, Add Docker support"
Lornatang,ESRGAN-PyTorch,Lornatang/ESRGAN-PyTorch,https://github.com/Lornatang/ESRGAN-PyTorch,Python,158,29,9,3735,1,0,1,0,0,0,2136,0,Beginner,35,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Cog-Creators,Red-Index,Cog-Creators/Red-Index,https://github.com/Cog-Creators/Red-Index,Python,36,71,0,285278,0,0,1,0,1,0,2156,0,Beginner,50,"Add unit/integration tests, Add Docker support"
daemonless,daemonless,daemonless/daemonless,https://github.com/daemonless/daemonless,Python,56,1,0,432,1,0,1,0,1,0,210,0,Beginner,38,"Add unit/integration tests, Add Docker support"
juliensimon,space-datasets,juliensimon/space-datasets,https://github.com/juliensimon/space-datasets,Python,11,1,0,3906,1,0,1,0,1,0,124,0,Beginner,34,"Add unit/integration tests, Add Docker support"
weaversa,cryptol-course,weaversa/cryptol-course,https://github.com/weaversa/cryptol-course,Python,28,17,10,14152,1,1,1,0,1,0,2250,0,Beginner,44,"Add unit/integration tests, Add Docker support"
WingedGuardian,GENesis-AGI,WingedGuardian/GENesis-AGI,https://github.com/WingedGuardian/GENesis-AGI,Python,91,16,2,24049,0,0,1,0,1,1,123,0,Intermediate,62,Add Docker support
mehmetey03,YA-HU,mehmetey03/YA-HU,https://github.com/mehmetey03/YA-HU,Python,24,5,0,182595,1,0,1,0,1,0,626,0,Beginner,40,"Add unit/integration tests, Add Docker support"
mikelikesrobots,viam-rover2,mikelikesrobots/viam-rover2,https://github.com/mikelikesrobots/viam-rover2,Python,11,0,0,64,1,0,1,0,0,0,62,0,Beginner,16,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
xxynet,KiraAI,xxynet/KiraAI,https://github.com/xxynet/KiraAI,Python,65,19,8,9236,1,0,1,1,1,1,265,0,Intermediate,72,Great job! Keep it up.
GoogleCloudPlatform,professional-services,GoogleCloudPlatform/professional-services,https://github.com/GoogleCloudPlatform/professional-services,Python,3047,1463,48,658220,0,0,1,0,0,0,3352,0,Production Ready,57,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
oaustegard,llm-as-computer,oaustegard/llm-as-computer,https://github.com/oaustegard/llm-as-computer,Python,11,2,0,2177,1,0,1,0,0,0,133,0,Beginner,20,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
rafatosta,zapzap,rafatosta/zapzap,https://github.com/rafatosta/zapzap,Python,1276,78,21,18566,1,1,1,0,1,1,1664,0,Intermediate,75,Add Docker support
felipelobomotta-blip,book-genesis-v4,felipelobomotta-blip/book-genesis-v4,https://github.com/felipelobomotta-blip/book-genesis-v4,Python,78,22,11,8512,1,0,1,0,0,1,100,0,Beginner,48,"Set up CI/CD workflows, Add Docker support"
ulsreall,web3-agent-kit,ulsreall/web3-agent-kit,https://github.com/ulsreall/web3-agent-kit,Python,18,2,12,2656,0,1,1,0,1,1,49,0,Intermediate,51,Add Docker support
plotly,dash,plotly/dash,https://github.com/plotly/dash,Python,24340,2308,534,216117,0,0,1,0,1,1,4122,0,Production Ready,95,Add Docker support
calesthio,OpenMontage,calesthio/OpenMontage,https://github.com/calesthio/OpenMontage,Python,41554,4945,196,73596,1,0,1,0,1,1,115,0,Production Ready,99,Add Docker support
PytorchConnectomics,pytorch_connectomics,PytorchConnectomics/pytorch_connectomics,https://github.com/PytorchConnectomics/pytorch_connectomics,Python,196,88,1,100808,1,1,1,0,1,1,2674,0,Intermediate,70,Add Docker support
comet-ml,opik,comet-ml/opik,https://github.com/comet-ml/opik,Python,20797,1630,151,693556,0,1,1,0,1,0,1170,0,Production Ready,78,"Add unit/integration tests, Add Docker support"
Lornatang,SRGAN-PyTorch,Lornatang/SRGAN-PyTorch,https://github.com/Lornatang/SRGAN-PyTorch,Python,483,116,4,3015,1,0,1,0,0,0,2287,0,Beginner,43,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Vinix24,vnx-orchestration,Vinix24/vnx-orchestration,https://github.com/Vinix24/vnx-orchestration,Python,51,6,3,25085,0,0,1,0,1,1,185,0,Intermediate,57,Add Docker support
devdacian,coldclone,devdacian/coldclone,https://github.com/devdacian/coldclone,Python,11,1,0,197,0,0,1,0,0,0,20,0,Beginner,19,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Bd-Mutant7,eips,Bd-Mutant7/eips,https://github.com/Bd-Mutant7/eips,Python,11,0,0,547,1,0,1,0,1,0,131,0,Beginner,31,"Add unit/integration tests, Add Docker support"
snowflakedb,snowflake-cli,snowflakedb/snowflake-cli,https://github.com/snowflakedb/snowflake-cli,Python,263,114,169,80041,0,0,1,0,1,1,1436,0,Production Ready,72,Add Docker support
cxyfreedom,website-hot-hub,cxyfreedom/website-hot-hub,https://github.com/cxyfreedom/website-hot-hub,Python,384,60,3,149846,1,0,1,0,1,0,1002,0,Beginner,55,"Add unit/integration tests, Add Docker support"
jordan-gibbs,hyperresearch,jordan-gibbs/hyperresearch,https://github.com/jordan-gibbs/hyperresearch,Python,1210,123,8,1340,1,0,1,0,1,1,104,0,Intermediate,76,Add Docker support
The412Banner,Banners-Turnip,The412Banner/Banners-Turnip,https://github.com/The412Banner/Banners-Turnip,Python,120,10,0,2889,0,0,1,0,1,0,152,0,Beginner,46,"Add unit/integration tests, Add Docker support"
Chat2AnyLLM,awesome-claude-skills,Chat2AnyLLM/awesome-claude-skills,https://github.com/Chat2AnyLLM/awesome-claude-skills,Python,142,33,0,21363,1,1,1,0,1,0,212,0,Beginner,51,"Add unit/integration tests, Add Docker support"
wecode-ai,Wegent,wecode-ai/Wegent,https://github.com/wecode-ai/Wegent,Python,662,120,66,67636,1,0,1,1,1,1,193,0,Intermediate,84,Great job! Keep it up.
openshift,cincinnati-graph-data,openshift/cincinnati-graph-data,https://github.com/openshift/cincinnati-graph-data,Python,81,78,11,13566,0,0,1,0,0,0,2512,0,Beginner,37,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
gmh5225,awesome-game-security,gmh5225/awesome-game-security,https://github.com/gmh5225/awesome-game-security,Python,3219,456,0,2687395,1,0,1,0,1,0,1571,0,Production Ready,68,"Add unit/integration tests, Add Docker support"
conda-forge,staged-recipes,conda-forge/staged-recipes,https://github.com/conda-forge/staged-recipes,Python,839,6178,1431,178804,0,0,1,0,1,0,3976,0,Production Ready,74,"Add unit/integration tests, Add Docker support"
Lornatang,AlexNet-PyTorch,Lornatang/AlexNet-PyTorch,https://github.com/Lornatang/AlexNet-PyTorch,Python,95,42,1,1142,1,0,1,0,0,1,2411,0,Beginner,50,"Set up CI/CD workflows, Add Docker support"
googleapis,google-cloud-python,googleapis/google-cloud-python,https://github.com/googleapis/google-cloud-python,Python,5351,1734,642,929682,0,1,1,0,1,0,4558,0,Production Ready,74,"Add unit/integration tests, Add Docker support"
droidrun,mobilerun,droidrun/mobilerun,https://github.com/droidrun/mobilerun,Python,8850,947,33,105725,0,0,1,1,1,1,466,0,Production Ready,99,Great job! Keep it up.
kvyb,opentulpa,kvyb/opentulpa,https://github.com/kvyb/opentulpa,Python,39,7,3,5374,1,0,1,1,1,1,153,0,Intermediate,67,Great job! Keep it up.
mahdibland,V2RayAggregator,mahdibland/V2RayAggregator,https://github.com/mahdibland/V2RayAggregator,Python,4004,667,16,4506073,0,0,1,0,1,0,1392,0,Production Ready,70,"Add unit/integration tests, Add Docker support"
bbenchoff,OrthoRoute,bbenchoff/OrthoRoute,https://github.com/bbenchoff/OrthoRoute,Python,389,30,5,165525,1,0,1,0,0,1,361,0,Beginner,53,"Set up CI/CD workflows, Add Docker support"
Mathics3,Mathics3-Frontend-CLI,Mathics3/Mathics3-Frontend-CLI,https://github.com/Mathics3/Mathics3-Frontend-CLI,Python,64,9,5,912,1,0,1,0,1,1,2125,0,Intermediate,59,Add Docker support
music-assistant,server,music-assistant/server,https://github.com/music-assistant/server,Python,2886,509,50,548685,0,0,1,1,1,1,2632,0,Production Ready,93,Great job! Keep it up.
NVIDIA-NeMo,Gym,NVIDIA-NeMo/Gym,https://github.com/NVIDIA-NeMo/Gym,Python,1066,236,517,75575,0,0,1,0,1,1,331,0,Production Ready,78,Add Docker support
strands-agents,harness-sdk,strands-agents/harness-sdk,https://github.com/strands-agents/harness-sdk,Python,6675,983,592,100650,0,1,1,0,1,0,434,0,Production Ready,73,"Add unit/integration tests, Add Docker support"
seqeralabs,nf-metro,seqeralabs/nf-metro,https://github.com/seqeralabs/nf-metro,Python,15,2,69,89257,1,1,1,0,1,1,157,0,Intermediate,51,Add Docker support
zmievsa,cadwyn,zmievsa/cadwyn,https://github.com/zmievsa/cadwyn,Python,305,53,27,5451,0,1,1,0,1,1,1136,0,Intermediate,69,Add Docker support
jasoncheng7115,jt-glogarch,jasoncheng7115/jt-glogarch,https://github.com/jasoncheng7115/jt-glogarch,Python,30,6,0,26509,0,1,1,0,0,0,105,0,Beginner,26,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
theriturajps,proxy-list,theriturajps/proxy-list,https://github.com/theriturajps/proxy-list,Python,13,3,0,214498,1,1,1,0,1,0,523,0,Beginner,37,"Add unit/integration tests, Add Docker support"
Lornatang,VGG-PyTorch,Lornatang/VGG-PyTorch,https://github.com/Lornatang/VGG-PyTorch,Python,41,10,1,1113,1,0,1,0,0,0,2404,0,Beginner,28,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
dev-core-busy,jarvis,dev-core-busy/jarvis,https://github.com/dev-core-busy/jarvis,Python,17,1,0,42668,0,0,1,1,1,0,142,0,Intermediate,45,Add unit/integration tests
MetaCell,cloud-harness,MetaCell/cloud-harness,https://github.com/MetaCell/cloud-harness,Python,19,5,79,47726,1,0,1,0,1,1,2346,0,Intermediate,54,Add Docker support
MoonLadderStudios,MoonMind,MoonLadderStudios/MoonMind,https://github.com/MoonLadderStudios/MoonMind,Python,12,5,57,50346,0,0,1,1,1,1,554,0,Intermediate,63,Great job! Keep it up.
GTNewHorizons,GTNH-Translations,GTNewHorizons/GTNH-Translations,https://github.com/GTNewHorizons/GTNH-Translations,Python,29,29,7,508492,0,0,1,0,1,1,877,0,Intermediate,61,Add Docker support
STMicroelectronics,compost-rpc,STMicroelectronics/compost-rpc,https://github.com/STMicroelectronics/compost-rpc,Python,16,3,7,1155,1,0,1,0,0,1,394,0,Beginner,37,"Set up CI/CD workflows, Add Docker support"
merenlab,anvio,merenlab/anvio,https://github.com/merenlab/anvio,Python,531,171,221,907587,1,0,1,0,1,0,4530,0,Production Ready,60,"Add unit/integration tests, Add Docker support"
quarrying,baidu-top-crawler,quarrying/baidu-top-crawler,https://github.com/quarrying/baidu-top-crawler,Python,35,9,0,69812,1,0,1,0,1,0,2088,0,Beginner,42,"Add unit/integration tests, Add Docker support"
ROCm,FlyDSL,ROCm/FlyDSL,https://github.com/ROCm/FlyDSL,Python,244,95,103,43336,1,1,1,0,1,1,242,0,Intermediate,71,Add Docker support
alpha-unito,streamflow,alpha-unito/streamflow,https://github.com/alpha-unito/streamflow,Python,65,19,30,6233,1,0,1,1,1,1,2439,0,Intermediate,72,Great job! Keep it up.
local-inference-lab,sparkinfer,local-inference-lab/sparkinfer,https://github.com/local-inference-lab/sparkinfer,Python,140,31,14,13575,0,0,1,0,0,1,128,0,Beginner,50,"Set up CI/CD workflows, Add Docker support"
josepha-mayo,mayo,josepha-mayo/mayo,https://github.com/josepha-mayo/mayo,Python,17,9,1,6581,1,0,1,0,1,0,165,0,Beginner,41,"Add unit/integration tests, Add Docker support"
HyperNylium,SynologyC2Password-to-Bitwarden,HyperNylium/SynologyC2Password-to-Bitwarden,https://github.com/HyperNylium/SynologyC2Password-to-Bitwarden,Python,16,3,0,398,0,0,1,0,1,1,774,0,Intermediate,52,Add Docker support
vyos,vyos-1x,vyos/vyos-1x,https://github.com/vyos/vyos-1x,Python,486,444,25,31054,0,0,1,0,1,1,3261,0,Production Ready,78,Add Docker support
yusufaliozkan,zotero-intelligence-bibliography,yusufaliozkan/zotero-intelligence-bibliography,https://github.com/yusufaliozkan/zotero-intelligence-bibliography,Python,12,7,1,269729,1,0,1,0,1,0,1328,0,Beginner,39,"Add unit/integration tests, Add Docker support"
dovvnloading,Graphlink,dovvnloading/Graphlink,https://github.com/dovvnloading/Graphlink,Python,25,4,0,4330,1,0,1,0,1,0,116,0,Beginner,39,"Add unit/integration tests, Add Docker support"
TracecatHQ,tracecat,TracecatHQ/tracecat,https://github.com/TracecatHQ/tracecat,Python,3736,393,131,109712,0,0,1,1,1,1,877,0,Production Ready,93,Great job! Keep it up.
fcakyon,claude-codex-settings,fcakyon/claude-codex-settings,https://github.com/fcakyon/claude-codex-settings,Python,813,69,9,3033,0,0,1,0,1,0,379,0,Beginner,58,"Add unit/integration tests, Add Docker support"
Aabishkar2,nepse-data,Aabishkar2/nepse-data,https://github.com/Aabishkar2/nepse-data,Python,72,24,2,47008,1,0,1,0,1,0,1614,0,Beginner,48,"Add unit/integration tests, Add Docker support"
lisamk1978,Electrum-Fake-Balance,lisamk1978/Electrum-Fake-Balance,https://github.com/lisamk1978/Electrum-Fake-Balance,Python,36,4,0,11060,0,0,1,0,0,0,9,0,Beginner,25,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
mpraes,ingestao_no_limite,mpraes/ingestao_no_limite,https://github.com/mpraes/ingestao_no_limite,Python,20,18,0,192,1,0,1,0,1,0,12,0,Beginner,43,"Add unit/integration tests, Add Docker support"
MihaiBuilds,memory-vault,MihaiBuilds/memory-vault,https://github.com/MihaiBuilds/memory-vault,Python,58,10,8,652,1,0,1,1,1,1,123,0,Intermediate,69,Great job! Keep it up.
maxplanck-ie,parkour2,maxplanck-ie/parkour2,https://github.com/maxplanck-ie/parkour2,Python,35,9,2,70642,1,0,1,1,1,0,1501,0,Intermediate,52,Add unit/integration tests
univention,univention-corporate-server,univention/univention-corporate-server,https://github.com/univention/univention-corporate-server,Python,293,74,10,1458860,0,0,1,0,1,1,3230,0,Production Ready,70,Add Docker support
datawhalechina,dive-into-embodied-ai,datawhalechina/dive-into-embodied-ai,https://github.com/datawhalechina/dive-into-embodied-ai,Python,146,17,0,25121,1,1,1,0,1,0,86,0,Beginner,48,"Add unit/integration tests, Add Docker support"
wikimedia,mediawiki-extensions,wikimedia/mediawiki-extensions,https://github.com/wikimedia/mediawiki-extensions,Python,46,16,0,317601,0,0,1,0,0,0,2720,0,Beginner,30,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
squid-protocol,gitgalaxy,squid-protocol/gitgalaxy,https://github.com/squid-protocol/gitgalaxy,Python,46,2,34,277051,0,1,1,0,1,1,124,0,Intermediate,54,Add Docker support
csmar432,finai-research,csmar432/finai-research,https://github.com/csmar432/finai-research,Python,11,0,2,16415,1,1,1,1,1,1,38,0,Intermediate,56,Great job! Keep it up.
youngbryan97,aura,youngbryan97/aura,https://github.com/youngbryan97/aura,Python,61,12,4,288932,1,0,1,1,1,1,108,0,Intermediate,70,Great job! Keep it up.
netbox-community,netbox,netbox-community/netbox,https://github.com/netbox-community/netbox,Python,21167,3074,218,204301,1,0,1,0,1,0,3797,0,Production Ready,80,"Add unit/integration tests, Add Docker support"
frappe,pilot,frappe/pilot,https://github.com/frappe/pilot,Python,56,36,13,6308,0,0,1,0,1,1,63,0,Intermediate,63,Add Docker support
harness,harness-evals,harness/harness-evals,https://github.com/harness/harness-evals,Python,13,7,22,967,1,0,1,0,1,1,93,0,Intermediate,54,Add Docker support
langchain-ai,langsmith-sdk,langchain-ai/langsmith-sdk,https://github.com/langchain-ai/langsmith-sdk,Python,984,266,179,29089,1,0,1,0,1,0,1149,0,Production Ready,63,"Add unit/integration tests, Add Docker support"
vzhd1701,gridplayer,vzhd1701/gridplayer,https://github.com/vzhd1701/gridplayer,Python,2021,178,152,9874,0,0,1,0,1,1,1744,0,Production Ready,79,Add Docker support
LoSkana,larpmanager,LoSkana/larpmanager,https://github.com/LoSkana/larpmanager,Python,21,7,2,188969,1,0,1,1,1,1,460,0,Intermediate,65,Great job! Keep it up.
bytedance,deer-flow,bytedance/deer-flow,https://github.com/bytedance/deer-flow,Python,77673,10581,995,47817,0,0,1,0,1,1,442,0,Production Ready,100,Add Docker support
openstack,openstack,openstack/openstack,https://github.com/openstack/openstack,Python,5983,1625,1,163428,0,0,1,0,0,0,4654,0,Beginner,60,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
red-hat-storage,ocs-ci,red-hat-storage/ocs-ci,https://github.com/red-hat-storage/ocs-ci,Python,108,200,543,39026,1,0,1,0,1,1,2666,0,Production Ready,71,Add Docker support
cyzus,suzent,cyzus/suzent,https://github.com/cyzus/suzent,Python,62,8,0,13430,1,1,1,0,1,1,361,0,Intermediate,59,Add Docker support
wonglaitung,fortune,wonglaitung/fortune,https://github.com/wonglaitung/fortune,Python,61,19,0,378447,1,0,1,0,1,1,284,0,Intermediate,61,Add Docker support
andreagroferreira,arka-os,andreagroferreira/arka-os,https://github.com/andreagroferreira/arka-os,Python,13,4,9,9721,1,0,1,0,1,1,130,0,Intermediate,52,Add Docker support
smartnews-smri,house-of-councillors,smartnews-smri/house-of-councillors,https://github.com/smartnews-smri/house-of-councillors,Python,109,5,1,77503,0,1,1,0,1,0,1498,0,Beginner,44,"Add unit/integration tests, Add Docker support"
abusaeeidx,Yupptv-Playlist,abusaeeidx/Yupptv-Playlist,https://github.com/abusaeeidx/Yupptv-Playlist,Python,12,8,0,277135,0,0,1,0,1,0,417,0,Beginner,39,"Add unit/integration tests, Add Docker support"
getsentry,pypi,getsentry/pypi,https://github.com/getsentry/pypi,Python,22,5,7,3681,0,0,1,0,1,1,1492,0,Intermediate,54,Add Docker support
zauberzeug,nicegui,zauberzeug/nicegui,https://github.com/zauberzeug/nicegui,Python,16048,937,33,118197,1,0,1,1,1,1,1903,0,Production Ready,100,Great job! Keep it up.
gooseworks-ai,goose-skills,gooseworks-ai/goose-skills,https://github.com/gooseworks-ai/goose-skills,Python,1049,193,53,68085,1,0,1,0,1,1,143,0,Intermediate,77,Add Docker support
Raidensz,OTP-Bot-Telegram,Raidensz/OTP-Bot-Telegram,https://github.com/Raidensz/OTP-Bot-Telegram,Python,41,32,4,6707,0,0,1,0,1,0,448,0,Beginner,47,"Add unit/integration tests, Add Docker support"
apache,airflow,apache/airflow,https://github.com/apache/airflow,Python,46218,17427,1761,675072,0,0,1,1,1,0,4118,0,Production Ready,99,Add unit/integration tests
schumijo,iptv,schumijo/iptv,https://github.com/schumijo/iptv,Python,101,9,4,421766,0,0,1,0,1,0,1354,0,Beginner,45,"Add unit/integration tests, Add Docker support"
Protuhj,nhc-cones,Protuhj/nhc-cones,https://github.com/Protuhj/nhc-cones,Python,16,1,0,3807316,0,1,1,0,1,0,2139,0,Beginner,35,"Add unit/integration tests, Add Docker support"
FGBLH,HKL,FGBLH/HKL,https://github.com/FGBLH/HKL,Python,313,124,1,39267,1,0,1,0,0,0,205,0,Beginner,42,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
pmwl0128,pokemon_champion_agent,pmwl0128/pokemon_champion_agent,https://github.com/pmwl0128/pokemon_champion_agent,Python,25,0,0,6125,1,0,1,0,0,0,28,0,Beginner,18,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
endoflife-date,release-data,endoflife-date/release-data,https://github.com/endoflife-date/release-data,Python,216,64,18,27887,0,0,1,0,1,0,1582,0,Beginner,54,"Add unit/integration tests, Add Docker support"
openstack,swift,openstack/swift,https://github.com/openstack/swift,Python,2786,1074,2,76398,0,0,1,1,0,1,5845,0,Production Ready,81,Set up CI/CD workflows
CODES-group,opyrability,CODES-group/opyrability,https://github.com/CODES-group/opyrability,Python,26,13,0,115527,1,1,1,0,1,1,1378,0,Intermediate,58,Add Docker support
wikimedia,pywikibot,wikimedia/pywikibot,https://github.com/wikimedia/pywikibot,Python,765,219,0,66866,0,0,1,1,1,1,4781,0,Intermediate,87,Great job! Keep it up.
WindowsGSM,SteamAppInfo,WindowsGSM/SteamAppInfo,https://github.com/WindowsGSM/SteamAppInfo,Python,20,3,1,135244,1,0,1,0,1,0,1593,0,Beginner,38,"Add unit/integration tests, Add Docker support"
Tenzer,alga,Tenzer/alga,https://github.com/Tenzer/alga,Python,131,8,4,1631,0,0,1,0,1,1,946,0,Intermediate,61,Add Docker support
Pwnzer0tt1,firegex,Pwnzer0tt1/firegex,https://github.com/Pwnzer0tt1/firegex,Python,111,11,0,20876,1,0,1,1,1,1,1502,0,Intermediate,71,Great job! Keep it up.
FineComputer14451,Grok-Imagine-Cinematic-Studio,FineComputer14451/Grok-Imagine-Cinematic-Studio,https://github.com/FineComputer14451/Grok-Imagine-Cinematic-Studio,Python,20,5,0,5698,1,0,1,0,1,1,77,0,Intermediate,54,Add Docker support
isi-nmr,brukerapi-python,isi-nmr/brukerapi-python,https://github.com/isi-nmr/brukerapi-python,Python,33,17,58,786,1,0,1,0,1,1,2258,0,Intermediate,59,Add Docker support
